gene	tSNE_x	tSNE_y	D02_MDDC_Ifnb.resp.tsv	D03_MDDC_Ifnb.resp.tsv	D11_MDDC_Ifnb.resp.tsv	Interagrated	D02_MDDC_Ctrl_0h	D02_MDDC_Ifnb_1h	D02_MDDC_Ifnb_2h	D02_MDDC_Ifnb_4h	D02_MDDC_Ifnb_6h	D02_MDDC_Ifnb_12h	D02_MDDC_Ifnb_24h	D03_MDDC_Ctrl_0h	D03_MDDC_Ifnb_1h	D03_MDDC_Ifnb_2h	D03_MDDC_Ifnb_4h	D03_MDDC_Ifnb_6h	D03_MDDC_Ifnb_12h	D03_MDDC_Ifnb_24h	D11_MDDC_Ctrl_0h	D11_MDDC_Ifnb_1h	D11_MDDC_Ifnb_2h	D11_MDDC_Ifnb_4h	D11_MDDC_Ifnb_6h	D11_MDDC_Ifnb_12h	D11_MDDC_Ifnb_24h
BBX	-12.9196144033	5.17894613845	4	3	4	6	12.19	12.4	11.34	25.53	37.74	26.35	29.39	11.15	10.89	11.16	17.51	33.04	30.61	33.52	18.86	18.03	18.58	32.55	48.4	46.39	45.79
BCAR3	-3.32481929919	4.72040425193	3	5	2	5	26.85	24.52	14.99	67.01	41.81	22.88	17.35	21.4	16.35	11.82	52.67	44.11	29.64	19.73	24.69	22.84	13.9	46.23	20.86	12.94	13.27
BCL2A1	-4.16168809344	3.66209046418	4	5	3	6	42.8	57.62	91.95	111.85	132.75	132.8	146.93	86.51	111.77	159.34	172.53	149.63	124.62	136.84	65.88	95.85	106.5	103.44	80.22	84.66	190.29
BCL2L11	-8.86878181377	-14.2322392841	1	2	3	0	4.02	4.45	3.73	2.54	3.49	2.46	5.08	3.44	2.51	3.79	1.72	1.55	4.95	10.6	5.81	6.13	7.85	5.45	3.25	4.79	8.62
BCL2L12	-7.95535778303	-14.4770130304	2	2	1	0	2.66	3.37	1.32	2.11	1.27	0.92	2.3	1.35	1.43	1.93	0.81	1.46	1.44	4.79	2.76	2.35	3.12	2.97	1.75	1.57	2.59
BCL2L13	-10.6391134124	10.0406157751	3	3	3	6	3.47	3.88	4.51	6.91	4.15	5.07	5.88	2.79	3.19	2.97	5.1	6.02	7.23	8.01	5.36	6.44	6.77	9.23	7.87	9.85	11.59
BCL3	3.23023399837	-4.58836714757	0	1	1	4	25.8	67.05	104.6	28.05	32.54	29.15	24.02	19.22	42.81	82.66	15.21	24.36	28.72	22.89	32.52	93.98	162.08	51.51	48.66	49.71	39.17
BCL6	3.92915727421	-5.77159494386	2	1	1	3	32.15	56.89	57.82	24.75	21.95	28.7	31.67	48.78	65.82	69.9	31.69	34.01	49.97	54.48	36.78	89.12	104.87	40.5	37.95	39.76	43.19
BCYRN1	7.01715769084	-5.36739857441	0	0	1	3	6.48	7.74	19.08	22.14	9.93	9.33	4.06	7.67	6.91	2.11	5.29	6.39	1.67	2.71	2.2	0.0	1.48	0.0	0.0	0.0	1.02
BEX2	-9.80433119038	-12.1571318075	1	1	3	0	1.01	1.84	1.2	0.73	0.57	0.97	2.03	2.33	0.8	3.08	2.02	0.44	0.17	0.55	1.83	2.53	2.54	1.93	1.08	1.21	6.46
BHLHE40	5.90012229727	-6.58288874223	2	0	1	3	112.01	224.05	123.88	62.05	83.07	32.75	40.07	94.02	202.48	105.58	36.12	51.58	25.09	30.97	172.47	334.9	206.6	87.89	119.6	67.49	85.45
BIN2	-17.8270505714	-6.16905116515	5	3	4	6	19.41	21.34	21.93	19.67	20.82	25.44	27.0	14.95	14.83	16.93	11.8	20.65	24.51	27.93	21.47	27.91	24.71	18.87	30.53	40.8	44.4
BIRC2	-6.76037879767	4.87644640076	4	5	2	6	26.43	39.07	43.93	55.89	56.21	47.14	55.71	28.35	33.85	51.95	54.51	58.93	47.42	53.58	32.9	32.11	41.6	58.36	47.95	43.97	49.57
BIRC3	-7.69647087955	7.76732577697	3	3	2	5	4.61	5.98	5.58	10.5	8.65	8.23	6.84	4.04	5.05	6.21	7.26	14.1	11.89	9.15	4.11	6.02	5.59	14.23	10.41	8.47	6.24
BIRC7	5.04553874939	-5.74839047431	2	0	1	3	5.52	7.67	7.96	7.13	4.11	2.92	3.52	6.03	7.68	6.3	5.48	4.1	1.86	3.15	2.42	6.23	5.81	4.67	3.05	2.54	3.9
BLNK	-16.8952766852	-0.224760638238	5	3	4	6	16.83	20.21	17.87	27.86	35.49	48.1	44.44	11.44	13.83	16.37	20.23	30.74	37.46	38.6	25.22	24.53	27.89	27.95	48.24	59.62	64.61
BLOC1S3	-14.5631708203	6.59921520737	4	3	4	6	15.92	11.93	18.03	39.75	49.25	44.12	57.96	15.18	10.15	16.17	34.94	47.88	68.89	87.57	14.07	10.96	18.56	42.06	54.2	70.13	76.59
BLOC1S5-TXNDC5	-0.579258727104	-9.71061394029	0	2	3	0	8.5	9.43	14.92	8.87	2.56	6.69	4.24	9.24	12.05	9.97	7.26	5.55	7.31	15.27	0.0	2.02	1.67	0.0	0.0	0.44	2.93
BLVRA	-15.395000134	0.353970861499	5	3	4	6	98.84	97.74	103.36	169.35	289.85	368.76	296.94	139.21	125.83	136.37	201.08	329.37	343.52	305.5	126.01	123.2	139.03	205.8	384.69	440.85	357.2
BLZF1	-10.1183762767	7.27804345407	4	3	2	6	9.65	13.51	29.68	74.44	71.46	48.56	65.76	6.15	12.42	25.71	57.66	82.78	80.1	78.05	11.77	13.94	31.68	89.15	77.51	67.63	85.32
BMPR2	-10.2536598401	8.38542930366	4	3	2	6	20.4	22.75	22.88	63.39	70.15	43.34	43.86	22.09	23.91	26.94	54.38	67.44	65.51	63.19	31.34	32.37	38.39	93.87	98.98	87.12	84.58
BMS1P5	-0.708885913292	4.68820672983	0	5	4	4	1.29	2.67	3.32	2.56	2.1	1.95	1.58	0.98	1.86	1.28	1.82	3.0	1.56	1.5	1.1	1.13	1.82	1.25	1.59	1.49	1.49
BNIP1	-0.931089260627	3.58056960793	0	3	3	4	4.39	6.56	10.6	10.04	9.09	7.92	7.14	3.36	4.89	7.8	7.17	8.21	9.93	8.82	4.04	5.3	9.5	8.2	6.18	7.13	9.76
BPGM	-5.53695682523	4.39951176489	4	3	2	6	14.21	19.1	47.27	52.44	44.32	45.47	62.0	12.59	15.16	33.83	37.93	41.28	37.81	44.7	15.43	19.63	32.31	34.7	29.12	33.14	39.39
BRCA2	-12.5484848421	-7.81855754767	4	2	3	6	1.59	2.73	3.97	6.2	5.84	4.42	8.27	1.6	2.87	3.95	6.51	6.68	7.09	13.5	1.78	3.14	6.94	12.17	8.83	10.7	17.44
BRIP1	-15.1421852209	6.04297900819	4	3	4	6	0.56	0.69	0.83	6.27	9.15	10.04	12.64	0.38	0.59	0.46	5.56	11.91	16.35	23.61	0.59	0.74	0.77	4.81	8.61	10.65	11.28
BST2	-16.3883718552	-1.557883666	5	3	4	6	115.33	153.95	152.14	178.33	259.97	658.8	626.61	99.98	108.28	120.48	162.7	378.21	795.48	784.87	68.92	101.37	120.23	141.02	328.19	646.75	587.01
BTG3	-6.92681353263	4.41002341763	1	5	2	5	5.76	5.01	9.97	17.03	13.26	11.57	22.27	9.25	8.32	24.22	29.95	31.45	19.66	24.7	8.41	7.18	12.84	24.32	17.1	9.54	14.68
BTK	-14.0894719065	-0.311242777644	4	3	4	6	44.78	49.94	45.78	42.56	64.74	64.6	59.87	31.26	34.57	33.1	29.79	63.18	78.97	60.68	52.27	49.95	43.98	52.74	84.63	97.91	83.85
BTN2A1	-12.3280253118	-7.93123139326	1	2	4	6	7.62	8.58	9.88	11.0	9.09	11.09	14.08	7.51	9.84	13.26	10.15	13.07	14.09	20.38	7.29	10.29	14.32	13.54	14.73	16.83	18.29
BTN2A2	-13.4530794898	-9.00120739183	1	3	3	6	14.25	16.97	12.27	14.86	18.57	18.24	28.21	14.05	13.23	10.94	12.25	20.52	27.31	37.13	16.59	18.47	16.6	20.97	27.2	25.6	33.46
BTN3A1	-14.3081532842	-10.7161156352	1	2	3	0	6.85	7.08	5.66	7.12	9.08	17.48	34.7	6.93	6.76	6.93	5.71	14.19	33.67	54.36	9.79	11.59	10.11	8.94	20.45	43.5	62.1
BTN3A2	-13.0750218915	-12.2055414047	1	2	3	0	6.08	7.61	4.66	3.91	3.11	8.39	13.66	15.0	12.93	13.79	9.85	12.11	28.18	45.61	14.39	14.76	12.77	11.56	14.42	26.07	37.83
BTN3A3	-15.7870130444	-7.4137871505	1	3	3	6	6.94	6.29	6.52	10.31	18.6	25.61	42.92	5.73	6.6	6.44	8.73	17.25	32.89	49.51	10.38	10.01	10.53	14.06	27.49	40.56	52.46
C10orf10	5.81737300824	-6.60833412398	2	0	1	3	0.46	3.81	1.41	0.47	0.65	0.45	0.6	0.82	10.71	3.03	0.8	1.05	0.89	1.34	1.0	10.54	1.89	0.69	1.19	1.39	1.38
